year,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cuba,Czechia,Denmark,Ecuador,Estonia,European Union,Finland,France,Germany,Guatemala,Hungary,Iceland,India,Italy,Japan,Kazakhstan,"Korea, Rep.",Malaysia,Mauritius,Monaco,Namibia,Netherlands,New Zealand,Norway,Pakistan,Panama,Papua New Guinea,Peru,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkiye,Ukraine,United Kingdom,United States,Uruguay,Vanuatu,"Venezuela, RB"
1995,258031750000.0,368725126225.126,240094169510.031,13972683273.5692,288025588396.278,769333330411.575,18991484420.36,605961090061.207,73820425701.6603,738190896227.55,92507279383.0387,30429803651.2192,60572381311.2283,184848481008.139,24432884442.2211,4502970889.06373,8298352822403.7,134060457516.34,1595219345511.89,2593053091306.13,14655404433.2771,46577614588.9926,7372640168.67697,360281909643.489,1177369428265.78,5545563663889.7,20374302652.3819,586286469400.665,88705342902.7113,4094741652.30048,3130309995.30848,3978514206.31168,452967334614.329,63918703506.9075,152029612324.788,60636071684.1918,9573813700.0,4636057476.42568,53312793687.3836,142838527115.448,118122007430.012,37430162102.6125,395537185734.854,26180022222.2222,21367422159.3207,171735933897.331,614170002668.802,267050453506.792,352835806342.495,234699627004.035,48213856468.5718,1349094208616.06,7639749000000.0,19297663096.5506,249333250.082507,77389487770.0883
1996,272149750000.0,401962517479.122,235952581232.129,14500437519.8258,279201433224.756,850426433004.077,12294964837.6235,630607994132.747,78584098983.6374,868523936530.083,97160109277.8087,25017368700.0,67804105329.8557,187481157845.724,25226393196.5983,4786018988.16491,8433614719069.7,131991975148.848,1598889216566.23,2506576553158.31,15674835615.3139,46833767123.6915,7686566105.26316,392896866204.516,1314776508972.27,4923391533851.63,21035357936.8796,631196863758.281,100855393910.486,4481489761.54368,3137886994.52207,3989163196.56767,451372549019.608,70140835299.0148,163520109150.671,63320170084.4076,9197503322.69367,5155311077.38998,55252414130.3019,160813026223.063,122630089680.27,36937074278.3004,391724890744.498,28197790874.5247,21470699362.6062,163234925380.563,642251412058.321,291949597375.485,340103959546.926,250366965174.129,44558831005.0621,1425287051482.06,8073122000000.0,20515458113.5857,261370044.486614,70543211119.099
1997,292859000000.0,436321902767.408,211724812267.448,14128408565.7064,252708051420.839,883206452795.124,11316127378.9613,654986999855.554,85741415285.165,967753570434.667,106659508271.255,25365908100.0,62539765163.1302,173241365735.483,28162053026.5133,5154420649.23354,7735885029565.07,126862902302.142,1449392222971.45,2218790886532.82,17790026221.6139,47398564799.2496,7716781803.07823,415867563592.829,1244988176443.84,4492448605638.94,22165932062.966,589202526424.141,100005323301.867,4243755307.55239,2840195190.36905,4154989950.00393,417506211881.635,66075143415.4952,161356631888.484,62433340468.0228,10058854386.1392,4936615298.79367,58147522522.5225,159893964916.817,117016535162.95,35575214078.2428,404928954191.876,27844628979.2682,20726878751.5006,168978057327.73,589739772727.273,268249616890.856,294788198856.198,263817553748.395,50151531591.7317,1569317288801.57,8577554457000.0,23969739233.8966,272771209.113662,85837678559.8324
1998,298948250000.0,400361527504.578,217068085815.918,15222012660.4232,258528339631.029,863711007325.493,15031055046.7575,634000000000.0,81990010704.0602,1037134141760.35,98443739941.1664,25736331200.0,67187217327.7326,176877077513.133,27981896948.4742,5674080542.88575,7970103042535.26,133990876724.522,1496906382032.47,2247760364565.97,19395491992.9939,48784412623.5939,8637732541.50677,421351317224.941,1272729786996.77,4098362709531.24,22135245507.3656,397297216492.19,72167498980.8398,4225813976.36359,2934593467.68589,3873109865.55683,438612530548.767,56227169851.0448,154230295158.447,62191955814.3478,11019557689.1677,3789443014.61662,55501467877.381,175282269666.801,123946327916.296,41696091973.7076,270955486862.442,29976207629.4888,22058635314.4836,152982984557.233,618731484575.12,270887306758.576,303459014346.806,276035372654.608,41882523345.1804,1660821464060.95,9062818202000.0,25385886977.5228,262293410.708334,91336763255.0597
1999,283523000000.0,390347787943.351,216421809125.916,12138486532.0203,258245733221.468,599642075004.471,13637098579.109,678412196271.118,75578685735.5219,1103843203575.64,86186158684.7685,28364615200.0,65586562604.8621,177887720535.535,19645272636.3182,5756912265.75809,7936107808460.76,135234241918.147,1486915879701.93,2213873468586.88,18318412251.3642,49160204397.4635,9107644690.76647,458821052615.79,1255004736463.98,4635982224063.88,16870817181.7799,515697079289.011,79148421052.6316,4402193195.46945,2907118641.17756,3868551730.39163,447778514140.155,58762260625.8758,162383706021.13,62973857068.5113,11660704777.0881,3477038204.01733,50187324567.883,170704452714.673,127470385557.184,35953156753.739,195907128350.934,30496272225.1337,22609669083.7179,151516957078.536,634394904386.874,274318357862.122,297873643323.126,256673939247.773,31580639553.8298,1693458987218.9,9631174489000.0,23983945190.6202,268006972.690296,97972842461.5131
2000,284203750000.0,416901962163.479,196181599831.287,12736856827.9847,236792460312.471,655448188259.351,13245990274.4581,744773415931.587,78339750721.364,1223754919971.05,99875074951.0278,30565400000.0,62175642238.0847,164043817223.59,17539454727.3637,5686579747.53524,7288481048952.25,125967821110.589,1360959069477.49,1966980701145.1,19288929030.0508,47275954428.9586,9140168922.35677,468395521654.458,1149661363439.38,4968359075956.59,18291990662.0356,597487173479.109,93789736842.1053,4726108622.47661,2654462665.26893,3922232164.83175,417649282153.726,52623281956.7031,171457201935.968,99484802344.5277,11966497048.6488,3521339699.07407,51744749133.213,172953527033.013,118605192877.388,37253739511.1273,259710142196.943,29215726004.7765,20159190701.6789,151752757215.309,598102854756.08,262903560280.282,279216033870.204,274748463178.502,32375083934.8241,1671597821152.97,10250947997000.0,22823270892.1094,272014627.835262,117146466002.661
2001,268696750000.0,380360222861.197,196477206829.33,12354820143.8849,236746141604.37,559983704094.17,14183446025.7389,738981792355.372,71574739561.4329,1355036590251.52,98200641203.3892,31682400000.0,68135304463.9641,164881594415.341,23127055000.0,6250218422.70164,7407615944962.45,129519672868.898,1370376677298.86,1966381496641.73,18405220247.4412,53800068065.7969,8323401820.48477,485440139204.171,1172041488805.87,4374711694090.87,22152689179.8815,567564806235.441,92783947368.4211,4675755867.17657,2673723033.71239,3557341215.15159,432536219668.898,53872425916.6248,174239354070.977,97145618479.9038,12252906340.6841,3081024212.42924,52030158775.4055,191823200371.284,121604107164.997,40395116581.4832,306602070620.5,30726659550.9717,20668868706.8115,135429905922.526,627798682378.741,242497797484.776,286582672434.226,202195080239.036,39309580983.2282,1656171009068.66,10581929774000.0,20898761742.2386,257926881.72043,122911036746.729
2002,97724004251.8602,396436967262.563,212837224022.813,14594900944.7658,258383599375.177,509795270685.19,16403043849.8297,760649334098.005,70264045939.2773,1489821682050.54,97945812802.8882,33590500000.0,82607869609.574,178788209558.311,27054197000.0,7370119619.4782,8100430284893.67,140360963811.765,1492427756382.43,2102350798305.89,20444205991.025,67636468625.0428,9416199699.54736,514939140318.756,1281746271196.04,4182846045873.61,24636598527.4437,650014391470.21,100845526315.789,4906494249.38255,2919647981.81473,3349169826.38896,475529972122.746,66627729311.4495,195914852576.467,97923302809.3537,12800851270.5514,2999511040.19764,54777553515.0809,199694463255.567,134795565549.419,46065502702.5817,345470494417.863,35243658398.7546,23214593516.2095,129087556612.449,708938227243.923,267371907446.776,309301422430.386,240778008473.845,43956163612.0433,1790536570743.41,10929112955000.0,13606515722.5864,262596535.549028,92893587733.6549
2003,127586973492.177,468517181129.878,260779834340.097,17825444724.4878,318082528506.588,558233724164.711,21144957990.4681,895540646634.787,76492579644.0605,1683903309843.85,94644969157.0987,35901200000.0,100435924704.881,218421193436.252,30965208000.0,9876595528.45528,9956860723577.65,171612867735.686,1835095983049.09,2534715518349.01,21576351798.9145,85190469121.074,11564687741.9859,607700687237.318,1582930016538.82,4519561645253.53,30833692900.1091,728516494684.269,110202368421.053,5894873919.74797,3597089750.78276,4926439383.51425,582435617081.96,88250885550.2626,229385469337.024,112371913740.823,13603456003.2851,3536411824.2958,58731030121.8671,218561225998.47,165226175536.793,57806384143.166,430347420184.885,46616149116.7411,29360575031.8177,197018965308.697,907963217057.645,334072443515.576,362075086507.76,315392899922.379,52010355753.0461,2061227755102.04,11456442041000.0,12045638351.8507,314471413.001776,83620628582.1082
2004,164657930452.787,615643050220.515,299210411454.823,23141566292.9462,369214712443.206,669289321944.512,26157743368.8716,1026690238278.25,99075985773.6682,1984196551300.44,117092416666.245,38203000000.0,120147899983.657,251986155630.852,35194947000.0,12148595031.0559,11449101966447.2,197458297639.769,2109792297237.03,2852317768061.78,23577298094.6571,104015363080.271,13963943244.0018,709152728830.775,1812808753294.75,4893116005656.56,43151647002.6096,823251107638.814,124749473684.211,6667418752.07307,4043551488.82603,6609205994.77406,661224886143.245,103905210084.034,265268662473.297,132216048339.413,15100203361.784,3927157866.96465,66768703497.5687,256268656145.134,189382122532.169,74973656851.8076,591016690732.385,57215475076.2986,34156553313.4031,255806908594.573,1069829382514.67,384545442175.019,403912891033.374,410156784495.948,67220154164.3166,2429774807762.72,12217193198000.0,13686329890.1191,364996869.129618,112451400424.964
2005,198737095012.282,696811489612.816,313952317330.776,30210091836.8294,385714762230.039,891633826625.407,29868657858.0082,1173108598778.68,122294145163.192,2317551298052.05,145600529605.803,42643836100.0,137264185596.1,265150087711.985,40278849000.0,14109491356.7964,11954349375612.0,204859368790.661,2192146403028.17,2893393187361.87,26783389293.922,113098237570.929,17146410560.5279,820383763511.445,1864982261286.85,4831467035389.8,57123671733.8952,971740329983.878,143534405818.501,6576108447.47531,4204652898.73103,7248374837.72056,688133699635.797,114720129550.095,309978579743.888,145208562960.767,16623906739.3121,4865892972.27595,76060606060.6061,306999913150.525,197253876704.921,98454380120.0761,764015973481.11,62547753148.4638,35947936823.7781,288867217196.534,1154667551775.88,391688455928.597,418284865884.998,508314210212.544,89238865118.5263,2551361818181.82,13039199193000.0,17362857683.8545,394962433.029368,145513489651.872
2006,232557260817.308,749708370332.989,333905979332.481,36961894281.3444,408259840868.823,1107626711163.23,34380536495.6739,1319264809590.97,153843518170.864,2791498472804.33,161792958904.864,48835925925.9259,156236258386.589,283386151543.687,45690762000.0,17025671810.3124,12768357074578.4,217044068234.117,2317861544690.82,3046308753670.58,29744246827.1839,115604111412.139,17671649843.2602,940259888787.721,1958563654385.64,4601663122649.92,81003864630.018,1095175538508.19,162692258307.056,7137710412.93687,4586826512.71356,8001779551.06323,737593995289.411,111538810712.665,346915160681.708,161871385506.36,18659721513.0123,8354911040.70193,88643193061.748,345897630736.173,208756449275.848,122023735992.706,989932071352.543,70751813442.9881,39260368837.0342,303858675363.643,1261846683275.29,422528394459.353,441634672196.523,559668118237.002,111884752475.248,2719558417663.29,13815586948000.0,19741420739.8901,439358586.535588,183477522123.894
2007,287530508430.568,856603595823.192,386760177589.497,45275711995.825,470922156309.453,1397114247188.89,44431257128.8618,1468820407783.26,172491076033.863,3604055822571.63,206229540926.312,54262870370.3704,190040702286.917,320213157595.018,49848725000.0,22450264166.4385,14789471689508.0,256360251537.648,2655816911866.56,3484056680854.91,33567850824.1039,140123326896.329,21960110030.4426,1216736438834.96,2222524108127.65,4579750920354.81,104849915058.376,1220911904593.06,193549569477.733,8277442915.00168,5875790766.2621,8839536475.99963,853499460872.552,137188946865.584,402643260487.572,184140869997.46,21717433808.2684,9545028944.34579,102170981144.136,429715132137.503,240496147317.381,174588782938.583,1299703478481.65,86587749517.9724,47880266542.577,333077117253.684,1476746276854.51,490047789548.441,490740715594.802,685228481017.03,148733861386.139,3104699879951.98,14474226905000.0,23797773024.3992,516392922.513728,230364012575.687
2008,361558037110.419,1058448244063.77,429234399096.173,60752106347.126,517328087920.078,1695855391757.96,54480684188.4442,1552989690721.65,179894594475.405,4667346414521.95,242504150472.931,56302129629.6296,236506264753.95,354979471960.142,61139438000.0,24342935403.5447,16364455236166.7,285698662071.094,2926802941585.86,3808197720125.0,38503720224.3166,158228265915.534,18247921360.2599,1198895139005.92,2417508414187.19,5106679115127.3,133441648851.982,1091580692542.34,230811614370.384,10127777060.4113,6502942244.93068,8607431497.49471,957901566041.406,133437126590.286,464917553191.489,202203748583.854,25721327955.2772,11670892800.5309,120550599815.441,535612030671.888,263416394624.084,214315932061.275,1660848058303.11,100830060552.902,55509332322.3578,316131258616.309,1636115447612.5,514614100832.941,567267767519.158,775415944332.866,188110390659.515,2945251838235.29,14769857911000.0,31119602538.8322,590748429.401902,315953388510.678
2009,332976484577.619,931761689770.843,399290118782.429,50873167326.0414,485014525992.461,1666996294252.12,52023801230.12,1374625142157.29,171777900623.892,5189577094997.58,232468663109.595,57481481481.4815,206971882704.716,322619152194.594,60094978000.0,19633984440.1223,14844813523140.0,253480783439.453,2700075882518.98,3478545516683.59,37126148264.6383,130807441076.16,13212543837.5133,1341888016994.9,2209484319012.65,5289493117993.89,115308686941.38,983065242417.36,202257453036.641,9264513545.14108,5474379252.34114,8938847189.07592,878954223140.234,121663439315.385,387976400617.019,187337783856.466,27791215547.3487,11619456449.266,120822986521.479,440891472247.096,244667762835.543,174110532658.867,1222645900055.7,89342984697.5246,49975540954.8465,329754060647.129,1496587590847.66,434311714442.499,554212916092.271,653894449921.288,121552153444.124,2429358155475.93,14478064934000.0,32708319077.5179,592622319.145664,329787628928.472
2010,423627422092.49,1152566632022.13,389827789217.634,57231904542.8755,481556503720.001,2208838108484.35,50689051382.4361,1617343367486.26,217051209238.534,6192564874453.29,286498534094.963,59562962962.963,211168667286.27,322345594075.47,68151329000.0,19524355419.038,14641773544950.6,249429613683.334,2646230027988.34,3467093769666.67,40676578423.4871,131898737241.166,13922711576.5124,1675615519484.96,2144936254535.0,5759071769013.11,148047348240.643,1192830015737.68,255017638455.59,10144716154.9356,5367561569.59548,11431412421.1316,852464982433.335,146887902524.052,431052143940.438,196709621849.586,30231009532.9507,14250786674.7766,147527631520.729,478111630683.514,238443864993.217,170064350671.827,1524916715223.95,91112160800.7668,47793117240.9001,417363822801.713,1427989078916.67,492750897239.447,598851028906.58,782545664268.333,141209170427.233,2496740681057.14,15048964444000.0,41950361211.9581,670712979.682038,393192354510.653
2011,530158122010.442,1402939868653.4,428954737064.057,61762382327.9319,527196649048.639,2616156606579.21,57681293006.9721,1793326630174.52,251382573893.87,7671757207851.29,334966134804.887,68990000000.0,231429378717.312,344315595263.175,78986648000.0,23303915794.7569,15874713437636.1,275126915515.565,2870408553990.28,3823575803793.78,46876006272.2387,141712804953.868,15394005872.149,1823051829894.55,2306974020278.21,6233147172341.35,192626464617.071,1307103477219.1,297951668674.835,11677718382.4259,6088689808.38347,12523359440.5499,913140741332.687,168484908960.078,501360549669.404,230586581059.665,35687738251.8135,17985138065.8549,171761737046.585,527848543023.469,245426767676.002,192623977894.173,2045922753398.04,99705104723.4341,51199194599.3094,458199494830.834,1487568659241.25,570538581144.45,715888126682.396,844192507380.795,169333835201.554,2675590034128.66,15599728123000.0,50342406067.0777,770153588.218833,316482190800.364
2012,545982375701.128,1552728401401.58,406750487603.59,65685890438.8922,498414364944.961,2465228293706.86,54297052002.2338,1828366481521.6,267024782486.855,8673664713189.24,370691143018.039,73141000000.0,210363223087.728,326792574244.963,87735048000.0,23237406116.3988,14731876146120.7,257443384492.969,2683007095787.23,3596483233406.25,49593929487.1263,128470269689.958,14943757823.3226,1827637590410.41,2097929495121.68,6272362996105.03,207998568865.789,1335343586437.67,314443047642.111,11832323837.1071,5742749294.00852,13042053591.6857,845689017065.625,176560711239.147,512777309840.997,250106966104.704,41595439720.9767,21295168665.7247,192650021648.583,498148649702.66,216536676771.973,179117323107.087,2208293553878.42,94724394278.052,46167053954.3367,434400545085.811,1330994811670.31,549739674655.127,686420221557.99,885327622479.052,182591753827.949,2719715961539.83,16253972230000.0,54232266358.7811,747839697.746593,372592062768.06
2013,552025140252.246,1583737461925.39,426580502769.417,75527558966.4473,524097026598.55,2472819362043.74,55819262374.9039,1846597421834.98,277395018842.417,9743124247267.24,382093697077.685,77148000000.0,213024360541.119,344631016965.12,96570334000.0,25451032780.7573,15398507628838.6,270268036626.275,2816077607875.26,3807023797050.99,52996420177.4409,135646053778.582,16244319958.6808,1856721507621.58,2153225581941.46,5212328181166.18,236634603409.089,1434669686501.84,323276235524.415,12434596541.2996,6555591709.88585,12043307277.1235,883951539006.669,191012364176.878,526014468085.106,258657231672.412,46949496479.4008,21261338064.8783,201175543571.392,518179836405.36,226677408291.745,189798603751.235,2292470078346.22,99134277850.3418,47867056858.8892,400886013595.573,1362186923157.65,584125353119.18,706234937370.968,962167643588.925,190498811460.028,2796908333283.39,16843190993000.0,61337621933.7857,758304466.245339,258930655486.37
2014,526319673731.638,1474677007565.64,438556021078.034,78813069120.9984,537987419164.351,2456043766032.38,57080897012.1077,1805749878439.94,259560978224.359,10674533168257.4,381240864422.407,80656100000.0,210911285077.683,352832602064.452,102717794000.0,27055689003.0038,15763596442222.6,273478528954.901,2861236112552.42,3964870735760.77,57852159007.6243,141128696412.321,18052183514.8695,2039126479154.52,2173255507985.84,4896994405353.29,221415613595.469,1556252422020.44,338066095097.254,13230490081.5656,7070017323.65476,12435430969.6301,901556501756.467,201518402787.38,501736471832.848,271390474857.632,51427104881.9655,23210823987.308,200786250582.943,542134167178.627,230078616299.675,199722319675.741,2059241589895.01,101713075598.862,49514466379.6057,381198869776.106,1380244561361.96,577727767303.596,726537808338.0,942343431928.654,133503871861.723,3085362169410.29,17550680174000.0,61496186973.902,773717010.546445,214689614732.719
2015,594749285413.212,1356805839935.9,379546097300.633,56454769844.7632,461044767544.531,1802211999456.42,50765918159.1476,1556508816217.14,242450355830.884,11280814787468.9,293492370193.166,87132800000.0,189107698561.919,301758922337.637,97209558000.0,23311847750.9394,13656252620703.3,233210733506.25,2442483452642.5,3425099578746.09,62186066547.6566,125244126623.289,17700486957.1907,2103588360044.94,1845428048839.1,4444930651964.18,184388404706.042,1539212301135.55,301355266964.947,12162211503.0793,6264756528.37691,11335161083.5061,775743675302.734,178224167087.99,388159512245.53,299963590534.773,55767806073.1781,21723437010.0982,189802976285.619,480054118583.367,199038523119.639,177885131240.315,1363482182197.71,89178548717.3324,42709468274.8137,346709790458.563,1206164777553.12,501602351911.6,694118186379.628,865460050683.656,91030967789.0717,2945579890258.46,18206020741000.0,57680327998.6689,759690180.951654,125449241571.391
2016,557532320662.955,1211588128417.61,393687359770.273,47723545321.259,474271566739.729,1795693265999.04,53929397039.2106,1527994741907.43,249344863928.438,11456024084962.0,282720100286.228,91370407900.0,198160659303.939,312181849372.233,97671433000.0,24561027787.7896,13988147697216.6,238777818792.608,2470407619777.13,3536787895179.0,66053408205.8838,128983560865.293,21083713310.457,2294796885663.16,1887111188176.93,5003677627544.24,137278320084.171,1579150518945.44,301256033870.334,12757680846.5663,6471290793.55029,10722018732.0936,797163949289.885,189100085275.23,370956547619.048,313630000130.435,59760858717.8359,20758876952.6232,191898104390.379,473259583969.643,206305431241.638,185290759248.844,1276786350881.14,90347173228.6356,44290685824.0682,323585509674.481,1243015667917.12,513058312950.939,687895460902.713,870818016909.84,93355869403.9223,2706807606538.73,18695110842000.0,57480787465.2716,804323576.861028,112915034262.314
2017,643628393281.364,1330890554614.09,414926138132.691,54725405751.1559,500908767351.53,2063514688805.78,59167647387.606,1649265644244.09,276154259981.097,12537559062282.9,311866875156.879,96850649700.0,221563575696.217,331610593961.988,104467486000.0,27469461919.1189,14871313684625.8,253846138440.0,2588868323334.71,3765351626105.89,71653780740.4226,143335098991.862,25060086487.8901,2651474262755.45,1970720904584.71,4930837369151.42,166805788827.233,1710196756713.17,319109094160.343,13896938315.2799,6430254652.58934,12895153370.9132,848233537845.884,206745969246.073,401745275035.261,339205534861.1,64327688826.3137,22742699138.356,211007984080.911,528356676667.211,220862990767.229,210147385855.419,1574199360089.0,95978130734.9766,48153200134.6613,381448814653.456,1321754088818.83,535172356784.769,695200833086.499,863874522365.276,112090505081.739,2699118387873.1,19477336549000.0,65005997963.4822,880043284.399407,115883275162.586
2018,524819892360.176,1433144978761.67,452582294972.775,60031026576.26,542638913427.921,1916933708352.71,66097226262.2191,1725329192783.02,295857562991.709,14147765772963.8,334198218098.276,100050036100.0,251992360762.236,355293374912.393,107478961000.0,31222632740.7247,16092403309151.5,273869255596.078,2781576320884.39,4055433215301.96,73328356007.6152,161184691013.835,26677652544.3499,2702929641648.74,2099435266458.67,5040880939324.86,179339977690.485,1824251454306.83,358788845712.53,14957535715.9696,7184333936.01355,13682019076.4022,929733599796.862,211985631173.205,439788625883.8,356128166704.921,67316471181.2488,24109780708.0268,222597009739.235,594616687350.017,242092894542.888,241791427223.903,1657328773461.31,106611673364.837,53689067639.9176,405260723892.517,1431642809327.06,549649344043.182,725568717468.001,788356985773.667,130891088293.55,2897028009916.05,20533057312000.0,65344577415.7535,914727908.137793,102021093964.682
2019,447754683615.225,1398349602956.35,442983642371.842,64410170653.4569,536726344405.489,1873288158838.63,68507731353.9114,1743725183672.52,278285058719.466,14560167101283.4,323031701192.84,103427600000.0,256794209028.77,345401473012.615,107595830000.0,31873748770.0313,15809073096211.4,267014821129.411,2722793515171.76,3959894794039.21,77172331693.4093,164936682033.992,24985687022.0452,2835606256558.19,2019606796583.53,5117993853016.51,181667184854.501,1751045752054.63,365177721021.516,14645235204.6176,7383496254.23721,12541928303.48,928903005576.469,213006341101.869,408742840909.091,320909472770.669,69778991192.5571,24750626029.8777,228346006003.648,602683770144.88,240115970063.019,250080428511.595,1693115002708.32,105843498304.094,53909922735.545,389330032224.269,1403496387686.27,530894124494.418,721369112726.724,775853144222.613,153883047509.577,2875710080015.3,21380976119000.0,62222313618.8454,936526267.622513,73014084091.3
2020,385740508436.965,1333336461648.09,434397601557.696,61371673344.7424,529694473501.791,1476107292151.95,70486877546.4901,1655684730000.19,254042159309.311,14996414166715.1,270348342541.465,107352000000.0,251109660602.536,355631021931.621,95865473000.0,31820771493.8974,15504055464107.4,270000311606.226,2647926055110.05,3941398957073.94,77719468248.3666,158468487754.196,22034665040.7901,2674851578587.27,1907481094079.23,5054068005376.28,171082365861.423,1744070276373.34,337456163961.211,11566111137.5568,6730736282.78961,10583748541.5258,932560861701.17,213029554653.687,367633418886.627,300425609817.981,57059846521.5327,23848447849.6081,201409694755.934,605914237903.742,229618773422.577,250625048303.578,1493075894362.14,107732602896.441,53384760135.1581,337974655408.055,1289783836971.21,544265668451.678,741999406005.627,733628247119.077,156617722013.342,2724001478304.59,21060473613000.0,53559359261.826,909421043.508407,42838020721.1995
2021,486564085480.036,1560617493202.69,480466363176.806,69673747131.87,598522422241.851,1670647464062.96,84374613233.36,2022378748423.23,315325547162.072,18201698719564.0,318524633225.395,,290972714482.313,406110162088.054,107179074000.0,37201101170.5847,17495226733585.2,294223210496.119,2966433692008.09,4355251953410.78,86455522272.7383,183282685440.486,26234872402.457,3167270623260.47,2179207773596.09,5039148168861.22,197112255360.612,1942313560965.9,373784553029.978,11622048696.8129,8623242743.29564,12402486183.6396,1054472123449.6,253977931814.967,503367986030.268,348516647445.148,67396392506.2378,26109413521.3117,226328766459.634,689170230665.35,256055879091.139,285071280114.469,1829186719575.1,120511265913.343,61540813361.8556,419986284375.368,1461244901852.69,631693331300.776,815309330986.719,839938668172.134,199765859570.935,3194559188925.93,23315080560000.0,60739084240.8633,950394006.532514,56614976854.5499
2022,633993756301.08,1695627535475.8,473221298968.216,73775179924.603,591085783326.267,1951923832083.87,90506153293.6733,2190411080134.32,301226575540.242,18316765021690.2,345632492851.448,,301831228325.556,400114306337.077,116133121000.0,38226641740.29,17023612496380.4,280253099309.34,2794788137066.94,4201021706478.62,95641446500.6523,177002580544.155,29166102877.2755,3346107287730.93,2104067630319.46,4262463317796.53,225496328925.494,1799363116866.52,407830525989.553,12936444123.3037,8800430486.17137,12569449123.3661,1046540797548.64,249509991440.438,596297651035.798,374890295666.694,76479304470.9375,31653185952.609,246065570308.155,695607470875.276,256898677175.024,295319437556.988,2291612121334.64,115792972358.209,59899117741.0022,407596043067.885,1448850658406.62,575071237640.921,828508926958.393,926097476913.818,161989520721.19,3181244350465.41,25604848907611.0,70594110920.0358,1055031360.57356,89013255584.7499
2023,649461687959.174,1734451264655.6,516670509628.876,72478760370.4258,651330595110.011,2191131869706.02,102199231384.542,2173339670064.33,335518054097.637,18270356654533.2,366291836137.916,,345059295659.911,404651706117.557,121147057000.0,41470344395.1086,18659133072074.8,295021982462.75,3056250648138.29,4562207532490.28,104368755054.601,213240316634.648,31677891896.7861,3638489096033.86,2316727999333.18,4213167237905.83,261840101059.923,1844800934391.54,399949418752.657,14072212290.4596,10003892565.2005,12408271449.2244,1135475867551.0,255194972673.122,482949731776.587,336686348609.266,83812155244.3352,30816367066.9594,266958720837.988,812451193396.143,292323800948.839,347757995758.914,2071505725030.58,133578518423.544,69255264238.3855,381440724491.232,1619481980719.64,578990915246.07,894424821645.205,1141242864657.45,181221517868.744,3420796653789.08,27292170793214.4,77991666837.7382,1115861055.72463,102376526555.948
2024,638365455340.04,1757022451652.83,534790720466.822,75961865471.9129,671370081636.406,2185821648943.86,113343355779.985,2243636826633.76,330267137371.592,18743803170827.2,418818154879.271,,347034062928.479,424524722037.047,124676074700.0,43130419829.35,19497115588443.6,298696961297.656,3160442622465.08,4685592577804.69,113199581158.203,222722738925.641,33255181468.9382,3909891533858.08,2380825077243.59,4027597523550.58,291480274648.826,1875388209406.8,422227005428.688,14937861786.17,11125783372.4794,13372354511.716,1214927698572.66,260172385097.616,483592648313.301,371570000121.266,86523959131.7472,31800428265.5246,289221969062.941,917767106146.761,313271185085.102,382564217988.866,2173835806671.66,140934076532.375,72972015197.3859,401144998373.585,1725671652742.19,603715224265.798,936564198048.516,1359123768774.12,190741262414.705,3686033044482.13,28750956130731.2,80961511073.5797,1117972034.22642,119802963257.783
